Power(W), Temperature(å¼C), Time(ms), elapsed time(ms), number of samples
63.88,54,335.989532,,
63.88,54,336.440521,,
63.88,54,336.89151,,
63.88,54,337.342499,,
63.88,54,337.793488,,
63.88,54,338.244476,,
63.88,54,338.695465,,
63.88,54,339.146454,,
63.88,54,339.597473,,
63.88,54,340.048462,,
63.88,54,340.499451,,
63.88,54,340.950439,,
63.88,54,341.401428,,
63.88,54,341.852417,,
63.88,54,342.303406,,
63.88,54,342.754395,,
63.88,54,343.205414,,
63.88,54,343.656403,,
63.88,54,344.107391,,
63.88,54,344.55838,,
63.88,54,345.009369,,
63.88,54,345.460358,,
63.88,54,345.911346,,
63.88,54,346.362366,,
63.88,54,346.813354,,
63.88,54,347.264343,,
63.88,54,347.715332,,
63.88,54,348.166321,,
63.88,54,348.61731,,
63.88,54,349.068298,,
63.88,54,349.519287,,
63.88,54,349.970306,,
63.785,54,350.421295,,
63.785,54,350.872284,,
63.785,54,351.323273,,
63.785,54,351.774261,,
63.785,54,352.22525,,
63.785,54,352.676239,,
63.785,54,353.127228,,
63.785,54,353.578247,,
63.785,54,354.029236,,
63.785,54,354.480225,,
63.785,54,354.931213,,
63.785,54,355.382202,,
63.785,54,355.833191,,
63.785,54,356.28418,,
63.785,54,356.735168,,
63.785,54,357.186188,,
63.785,54,357.637177,,
63.785,54,358.088165,,
63.785,54,358.539154,,
63.785,54,358.990143,,
63.785,54,359.441132,,
63.785,54,359.89212,,
63.785,54,360.343109,,
63.785,54,360.794128,,
63.785,54,361.245117,,
63.785,54,361.696106,,
63.785,54,362.147095,,
63.785,54,362.598083,,
63.785,54,363.049072,,
63.785,54,363.500061,,
63.785,54,363.95105,,
63.785,54,364.402069,,
63.785,54,364.853058,,
63.785,54,365.304047,,
63.785,54,365.755035,,
63.785,54,366.206024,,
63.785,54,366.657013,,
63.785,54,367.108002,,
63.785,54,367.55899,,
63.785,54,368.01001,,
63.785,54,368.460999,,
63.785,54,368.911987,,
63.785,54,369.362976,,
63.785,54,369.813965,,
63.785,54,370.264954,,
63.785,54,370.715942,,
63.785,54,371.166931,,
63.785,54,371.61795,,
63.785,54,372.068939,,
63.785,54,372.519928,,
63.785,54,372.970917,,
63.785,54,373.421906,,
63.785,54,373.872894,,
63.785,54,374.323883,,
63.785,54,374.774872,,
63.785,54,375.225891,,
63.785,54,375.67688,,
63.785,54,376.127869,,
63.785,54,376.578857,,
63.785,54,377.029846,,
63.785,54,377.480835,,
63.785,54,377.931824,,
63.785,54,378.382843,,
63.785,54,378.833832,,
63.785,54,379.284821,,
63.785,54,379.735809,,
63.785,54,380.186798,,
63.785,54,380.637787,,
63.785,54,381.088776,,
63.785,54,381.539764,,
63.785,54,381.990784,,
63.785,54,382.441772,,
63.785,54,382.892761,,
63.785,54,383.34375,,
63.785,54,383.794739,,
63.785,54,384.245728,,
63.785,54,384.696716,,
63.785,54,385.147705,,
63.785,54,385.598724,,
63.785,54,386.049713,,
63.785,54,386.500702,,
63.785,54,386.951691,,
63.785,54,387.402679,,
63.785,54,387.853668,,
63.785,54,388.304657,,
63.785,54,388.755646,,
63.785,54,389.206665,,
63.785,54,389.657654,,
63.785,54,390.108643,,
63.785,54,390.559631,,
63.785,54,391.01062,,
63.785,54,391.461609,,
63.785,54,391.912598,,
63.785,54,392.363586,,
63.785,54,392.814606,,
63.785,54,393.265594,,
63.785,54,393.716583,,
63.785,54,394.167572,,
63.785,54,394.618561,,
63.785,54,395.06955,,
63.785,54,395.520538,,
63.785,54,395.971527,,
63.785,54,396.422546,,
63.785,54,396.873535,,
63.785,54,397.324524,,
63.785,54,397.775513,,
63.785,54,398.226501,,
63.785,54,398.67749,,
63.785,54,399.128479,,
63.785,54,399.579468,,
63.785,54,400.030487,,
63.785,54,400.481476,,
63.785,54,400.932465,,
63.785,54,401.383453,,
63.785,54,401.834442,,
63.785,54,402.285431,,
63.785,54,402.73642,,
63.785,54,403.187408,,
63.785,54,403.638428,,
63.785,54,404.089417,,
63.785,54,404.540405,,
63.785,54,404.991394,,
63.785,54,405.442383,,
63.785,54,405.893372,,
63.785,54,406.34436,,
63.785,54,406.79538,,
63.785,54,407.246368,,
63.785,54,407.697357,,
63.785,54,408.148346,,
63.785,54,408.599335,,
63.785,54,409.050323,,
63.785,54,409.501312,,
63.785,54,409.952301,,
63.785,54,410.40332,,
63.785,54,410.854309,,
63.785,54,411.305298,,
63.785,54,411.756287,,
63.785,54,412.207275,,
63.88,54,412.658264,,
63.88,54,413.109253,,
63.88,54,413.560242,,
63.88,54,414.011261,,
63.88,54,414.46225,,
63.88,54,414.913239,,
63.88,54,415.364227,,
63.88,54,415.815216,,
63.88,54,416.266205,,
63.88,54,416.717194,,
63.88,54,417.168182,,
63.88,54,417.619202,,
63.88,54,418.07019,,
63.88,54,418.521179,,
63.88,54,418.972168,,
63.88,54,419.423157,,
63.88,54,419.874146,,
63.88,54,420.325134,,
63.88,54,420.776123,,
63.88,54,421.227142,,
63.88,54,421.678131,,
63.88,54,422.12912,,
63.88,54,422.580109,,
63.88,54,423.031097,,
63.88,54,423.482086,,
63.88,54,423.933075,,
63.88,54,424.384064,,
63.88,54,424.835083,,
63.88,54,425.286072,,
63.88,54,425.737061,,
63.88,54,426.188049,,
63.88,54,426.639038,,
63.88,54,427.090027,,
63.88,54,427.541016,,
63.88,54,427.992004,,
63.88,54,428.443024,,
63.88,54,428.894012,,
63.88,54,429.345001,,
63.88,54,429.79599,,
63.88,54,430.246979,,
63.88,54,430.697968,,
63.88,54,431.148956,,
63.88,54,431.599945,,
63.88,54,432.050964,,
63.88,54,432.501953,,
63.88,54,432.952942,,
63.88,54,433.403931,,
63.88,54,433.854919,,
63.88,54,434.305908,,
63.88,54,434.756897,,
63.88,54,435.207916,,
63.88,54,435.658905,,
63.88,54,436.109894,,
63.88,54,436.560883,,
63.88,54,437.011871,,
63.88,54,437.46286,,
63.88,54,437.913849,,
63.88,54,438.364838,,
63.88,54,438.815857,,
63.88,54,439.266846,,
63.88,54,439.717834,,
63.88,54,440.168823,,
63.88,54,440.619812,,
63.88,54,441.070801,,
63.88,54,441.52179,,
63.88,54,441.972778,,
63.88,54,442.423798,,
63.88,54,442.874786,,
63.88,54,443.325775,,
63.88,54,443.776764,,
63.88,54,444.227753,,
63.88,54,444.678741,,
63.88,54,445.12973,,
63.88,54,445.580719,,
63.88,54,446.031738,,
63.88,54,446.482727,,
63.88,54,446.933716,,
63.88,54,447.384705,,
63.88,54,447.835693,,
63.88,54,448.286682,,
63.88,54,448.737671,,
63.88,54,449.18866,,
63.88,54,449.639679,,
63.88,54,450.090668,,
63.88,54,450.541656,,
63.88,54,450.992645,,
63.88,54,451.443634,,
63.88,54,451.894623,,
63.88,54,452.345612,,
63.88,54,452.7966,,
63.88,54,453.24762,,
63.88,54,453.698608,,
63.88,54,454.149597,,
63.88,54,454.600586,,
63.88,54,455.051575,,
63.88,54,455.502563,,
63.88,54,455.953552,,
63.88,54,456.404541,,
63.88,54,456.85556,,
